ctyfips,county,stfips,state,zip,cd,dma,dma name
17195,Whiteside,,IL,61252,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61261,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61270,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61277,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61283,,682,DAVENPORT-ROCK ISLAND-MOLINE
17197,Will,,IL,60401,,602,CHICAGO
17197,Will,,IL,60403,,602,CHICAGO
17197,Will,,IL,60404,,602,CHICAGO
17197,Will,,IL,60408,,602,CHICAGO
17197,Will,,IL,60410,,602,CHICAGO
17197,Will,,IL,60417,,602,CHICAGO
17197,Will,,IL,60421,,602,CHICAGO
17197,Will,,IL,60423,,602,CHICAGO
17197,Will,,IL,60431,,602,CHICAGO
17197,Will,,IL,60432,,602,CHICAGO
17197,Will,,IL,60433,,602,CHICAGO
17197,Will,,IL,60434,,602,CHICAGO
17197,Will,,IL,60435,,602,CHICAGO
17197,Will,,IL,60436,,602,CHICAGO
17197,Will,,IL,60440,,602,CHICAGO
17197,Will,,IL,60441,,602,CHICAGO
17197,Will,,IL,60442,,602,CHICAGO
17197,Will,,IL,60446,,602,CHICAGO
17197,Will,,IL,60448,,602,CHICAGO
17197,Will,,IL,60449,,602,CHICAGO
17197,Will,,IL,60451,,602,CHICAGO
17197,Will,,IL,60468,,602,CHICAGO
17197,Will,,IL,60481,,602,CHICAGO
17197,Will,,IL,60490,,602,CHICAGO
17197,Will,,IL,60491,,602,CHICAGO
17197,Will,,IL,60544,,602,CHICAGO
17197,Will,,IL,60564,,602,CHICAGO
17197,Will,,IL,60585,,602,CHICAGO
17197,Will,,IL,60586,,602,CHICAGO
17199,Williamson,,IL,62841,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62915,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62918,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62921,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62922,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62933,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62948,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62949,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62951,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62959,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17199,Williamson,,IL,62974,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17201,Winnebago,,IL,61016,,610,ROCKFORD
17201,Winnebago,,IL,61024,,610,ROCKFORD
17201,Winnebago,,IL,61063,,610,ROCKFORD
17201,Winnebago,,IL,61072,,610,ROCKFORD
17201,Winnebago,,IL,61073,,610,ROCKFORD
17201,Winnebago,,IL,61077,,610,ROCKFORD
17201,Winnebago,,IL,61079,,610,ROCKFORD
17201,Winnebago,,IL,61080,,610,ROCKFORD
17201,Winnebago,,IL,61088,,610,ROCKFORD
17201,Winnebago,,IL,61101,,610,ROCKFORD
17201,Winnebago,,IL,61102,,610,ROCKFORD
17201,Winnebago,,IL,61103,,610,ROCKFORD
17201,Winnebago,,IL,61104,,610,ROCKFORD
17201,Winnebago,,IL,61105,,610,ROCKFORD
17201,Winnebago,,IL,61106,,610,ROCKFORD
17201,Winnebago,,IL,61107,,610,ROCKFORD
17201,Winnebago,,IL,61108,,610,ROCKFORD
17201,Winnebago,,IL,61109,,610,ROCKFORD
17201,Winnebago,,IL,61110,,610,ROCKFORD
17201,Winnebago,,IL,61111,,610,ROCKFORD
17201,Winnebago,,IL,61112,,610,ROCKFORD
17201,Winnebago,,IL,61114,,610,ROCKFORD
17201,Winnebago,,IL,61115,,610,ROCKFORD
17201,Winnebago,,IL,61125,,610,ROCKFORD
17201,Winnebago,,IL,61126,,610,ROCKFORD
17201,Winnebago,,IL,61130,,610,ROCKFORD
17201,Winnebago,,IL,61131,,610,ROCKFORD
17201,Winnebago,,IL,61132,,610,ROCKFORD
17203,Woodford,,IL,61516,,675,PEORIA-BLOOMINGTON
17203,Woodford,,IL,61530,,675,PEORIA-BLOOMINGTON
17203,Woodford,,IL,61545,,675,PEORIA-BLOOMINGTON
17203,Woodford,,IL,61548,,675,PEORIA-BLOOMINGTON
17203,Woodford,,IL,61561,,675,PEORIA-BLOOMINGTON
17203,Woodford,,IL,61729,,675,PEORIA-BLOOMINGTON
17203,Woodford,,IL,61738,,675,PEORIA-BLOOMINGTON
17203,Woodford,,IL,61742,,675,PEORIA-BLOOMINGTON
17203,Woodford,,IL,61760,,675,PEORIA-BLOOMINGTON
17203,Woodford,,IL,61771,,675,PEORIA-BLOOMINGTON
18001,Adams,,IN,46711,,509,FORT WAYNE
18001,Adams,,IN,46733,,509,FORT WAYNE
18001,Adams,,IN,46740,,509,FORT WAYNE
18001,Adams,,IN,46769,,509,FORT WAYNE
18001,Adams,,IN,46772,,509,FORT WAYNE
18001,Adams,,IN,46780,,509,FORT WAYNE
18001,Adams,,IN,46782,,509,FORT WAYNE
18003,Allen,,IN,46704,,509,FORT WAYNE
18003,Allen,,IN,46741,,509,FORT WAYNE
18003,Allen,,IN,46743,,509,FORT WAYNE
18003,Allen,,IN,46745,,509,FORT WAYNE
18003,Allen,,IN,46748,,509,FORT WAYNE
18003,Allen,,IN,46765,,509,FORT WAYNE
18003,Allen,,IN,46773,,509,FORT WAYNE
18003,Allen,,IN,46774,,509,FORT WAYNE
18003,Allen,,IN,46788,,509,FORT WAYNE
18003,Allen,,IN,46797,,509,FORT WAYNE
18003,Allen,,IN,46798,,509,FORT WAYNE
18003,Allen,,IN,46799,,509,FORT WAYNE
18003,Allen,,IN,46801,,509,FORT WAYNE
18003,Allen,,IN,46802,,509,FORT WAYNE
18003,Allen,,IN,46803,,509,FORT WAYNE
18003,Allen,,IN,46804,,509,FORT WAYNE
18003,Allen,,IN,46805,,509,FORT WAYNE
18003,Allen,,IN,46806,,509,FORT WAYNE
18003,Allen,,IN,46807,,509,FORT WAYNE
18003,Allen,,IN,46808,,509,FORT WAYNE
18003,Allen,,IN,46809,,509,FORT WAYNE
18003,Allen,,IN,46814,,509,FORT WAYNE
18003,Allen,,IN,46815,,509,FORT WAYNE
18003,Allen,,IN,46816,,509,FORT WAYNE
18003,Allen,,IN,46818,,509,FORT WAYNE
18003,Allen,,IN,46819,,509,FORT WAYNE
18003,Allen,,IN,46825,,509,FORT WAYNE
18003,Allen,,IN,46835,,509,FORT WAYNE
18003,Allen,,IN,46845,,509,FORT WAYNE
18003,Allen,,IN,46850,,509,FORT WAYNE
18003,Allen,,IN,46851,,509,FORT WAYNE
18003,Allen,,IN,46852,,509,FORT WAYNE
18003,Allen,,IN,46853,,509,FORT WAYNE
18003,Allen,,IN,46854,,509,FORT WAYNE
18003,Allen,,IN,46855,,509,FORT WAYNE
18003,Allen,,IN,46856,,509,FORT WAYNE
